method,source,hits_at_k,precision_at_k
adamic_adar,1200,6,0.6
adamic_adar,1201,6,0.6
adamic_adar,1202,7,0.7
adamic_adar,1203,3,0.3
adamic_adar,1204,4,0.4
adamic_adar,1207,2,0.2
adamic_adar,1210,8,0.8
adamic_adar,1211,6,0.6
adamic_adar,1214,1,0.1
adamic_adar,1215,5,0.5
adamic_adar,1221,6,0.6
adamic_adar,1228,2,0.2
adamic_adar,1230,4,0.4
adamic_adar,1233,1,0.1
adamic_adar,1234,4,0.4
adamic_adar,1235,2,0.2
adamic_adar,1236,9,0.9
adamic_adar,1237,2,0.2
adamic_adar,1239,1,0.1
adamic_adar,1241,6,0.6
adamic_adar,1242,3,0.3
adamic_adar,1243,1,0.1
adamic_adar,1244,1,0.1
adamic_adar,1245,3,0.3
adamic_adar,1246,3,0.3
adamic_adar,1247,7,0.7
adamic_adar,1248,5,0.5
adamic_adar,1252,1,0.1
adamic_adar,1253,5,0.5
adamic_adar,1259,4,0.4
adamic_adar,1267,7,0.7
adamic_adar,1278,7,0.7
adamic_adar,1279,7,0.7
adamic_adar,1281,2,0.2
adamic_adar,1282,1,0.1
adamic_adar,1285,5,0.5
adamic_adar,1286,7,0.7
adamic_adar,1290,4,0.4
adamic_adar,1291,4,0.4
adamic_adar,1292,1,0.1
adamic_adar,1293,3,0.3
adamic_adar,1296,1,0.1
adamic_adar,1297,6,0.6
adamic_adar,1299,2,0.2
adamic_adar,1305,5,0.5
adamic_adar,1306,2,0.2
adamic_adar,1308,1,0.1
adamic_adar,1310,1,0.1
adamic_adar,1315,2,0.2
adamic_adar,1316,1,0.1
adamic_adar,1318,1,0.1
adamic_adar,1319,6,0.6
adamic_adar,1320,2,0.2
adamic_adar,1322,2,0.2
adamic_adar,1326,1,0.1
adamic_adar,1328,1,0.1
adamic_adar,1331,1,0.1
adamic_adar,1333,1,0.1
adamic_adar,1335,5,0.5
adamic_adar,1336,2,0.2
adamic_adar,1340,1,0.1
adamic_adar,1343,1,0.1
adamic_adar,1349,1,0.1
adamic_adar,1350,8,0.8
adamic_adar,1352,6,0.6
adamic_adar,1353,6,0.6
adamic_adar,1354,2,0.2
adamic_adar,1355,1,0.1
adamic_adar,1356,2,0.2
adamic_adar,1357,7,0.7
adamic_adar,1358,4,0.4
adamic_adar,1359,1,0.1
adamic_adar,1360,4,0.4
adamic_adar,1362,1,0.1
adamic_adar,1365,1,0.1
adamic_adar,1367,5,0.5
adamic_adar,1368,3,0.3
adamic_adar,1374,4,0.4
adamic_adar,1375,2,0.2
adamic_adar,1377,9,0.9
adamic_adar,1378,2,0.2
adamic_adar,1380,5,0.5
adamic_adar,1381,4,0.4
adamic_adar,1382,4,0.4
adamic_adar,1383,1,0.1
adamic_adar,1384,3,0.3
adamic_adar,1385,3,0.3
adamic_adar,1386,8,0.8
adamic_adar,1390,5,0.5
adamic_adar,1393,1,0.1
adamic_adar,1394,2,0.2
adamic_adar,1395,8,0.8
adamic_adar,1400,1,0.1
adamic_adar,1406,1,0.1
adamic_adar,1407,1,0.1
adamic_adar,1416,4,0.4
adamic_adar,1419,6,0.6
adamic_adar,1420,2,0.2
adamic_adar,1423,2,0.2
adamic_adar,1424,7,0.7
adamic_adar,1428,7,0.7
adamic_adar,1429,1,0.1
adamic_adar,1430,1,0.1
adamic_adar,1432,1,0.1
adamic_adar,1434,1,0.1
adamic_adar,1439,3,0.3
adamic_adar,1441,5,0.5
adamic_adar,1442,2,0.2
adamic_adar,1446,1,0.1
adamic_adar,1447,2,0.2
adamic_adar,1451,1,0.1
adamic_adar,1457,2,0.2
adamic_adar,1462,0,0.0
adamic_adar,1463,3,0.3
adamic_adar,1465,1,0.1
adamic_adar,1466,3,0.3
adamic_adar,1467,1,0.1
adamic_adar,1468,2,0.2
adamic_adar,1470,4,0.4
adamic_adar,1471,7,0.7
adamic_adar,1473,6,0.6
adamic_adar,1474,1,0.1
adamic_adar,1480,6,0.6
adamic_adar,1482,2,0.2
adamic_adar,1483,8,0.8
adamic_adar,1487,5,0.5
adamic_adar,1489,8,0.8
adamic_adar,1492,9,0.9
adamic_adar,1495,1,0.1
adamic_adar,1496,6,0.6
adamic_adar,1497,7,0.7
adamic_adar,1498,1,0.1
adamic_adar,1499,4,0.4
adamic_adar,1500,5,0.5
adamic_adar,1501,4,0.4
adamic_adar,1503,1,0.1
adamic_adar,1504,2,0.2
adamic_adar,1506,5,0.5
adamic_adar,1507,1,0.1
adamic_adar,1510,2,0.2
adamic_adar,1521,8,0.8
adamic_adar,1522,5,0.5
adamic_adar,1524,1,0.1
adamic_adar,1525,4,0.4
adamic_adar,1526,1,0.1
adamic_adar,1530,1,0.1
adamic_adar,1537,9,0.9
adamic_adar,1538,4,0.4
adamic_adar,1539,0,0.0
adamic_adar,1542,9,0.9
adamic_adar,1547,6,0.6
adamic_adar,1548,1,0.1
adamic_adar,1549,7,0.7
adamic_adar,1550,6,0.6
adamic_adar,1552,6,0.6
adamic_adar,1553,3,0.3
adamic_adar,1555,8,0.8
adamic_adar,1560,1,0.1
adamic_adar,1564,4,0.4
adamic_adar,1565,1,0.1
adamic_adar,1566,7,0.7
adamic_adar,1571,4,0.4
adamic_adar,1582,3,0.3
adamic_adar,1583,6,0.6
adamic_adar,1585,8,0.8
adamic_adar,1589,3,0.3
adamic_adar,1592,6,0.6
adamic_adar,1594,6,0.6
adamic_adar,1596,5,0.5
adamic_adar,1601,1,0.1
adamic_adar,1603,1,0.1
adamic_adar,1604,2,0.2
adamic_adar,1607,1,0.1
adamic_adar,1608,6,0.6
adamic_adar,1610,1,0.1
adamic_adar,1612,8,0.8
adamic_adar,1613,4,0.4
adamic_adar,1614,8,0.8
adamic_adar,1615,6,0.6
adamic_adar,1621,8,0.8
adamic_adar,1622,5,0.5
adamic_adar,1623,2,0.2
adamic_adar,1628,1,0.1
adamic_adar,1631,1,0.1
adamic_adar,1639,6,0.6
adamic_adar,1644,3,0.3
adamic_adar,1646,1,0.1
adamic_adar,1647,5,0.5
adamic_adar,1658,1,0.1
adamic_adar,1661,3,0.3
adamic_adar,1662,1,0.1
adamic_adar,1664,1,0.1
adamic_adar,1667,4,0.4
adamic_adar,1668,2,0.2
adamic_adar,1670,2,0.2
adamic_adar,1674,1,0.1
adamic_adar,1680,2,0.2
adamic_adar,1683,1,0.1
adamic_adar,1684,1,0.1
adamic_adar,1687,3,0.3
adamic_adar,1688,6,0.6
adamic_adar,1691,4,0.4
adamic_adar,1692,2,0.2
adamic_adar,1693,1,0.1
adamic_adar,1697,7,0.7
adamic_adar,1700,7,0.7
adamic_adar,1701,7,0.7
adamic_adar,1705,5,0.5
adamic_adar,1706,1,0.1
adamic_adar,1707,4,0.4
adamic_adar,1711,1,0.1
adamic_adar,1714,2,0.2
adamic_adar,1716,1,0.1
adamic_adar,1717,7,0.7
adamic_adar,1719,2,0.2
adamic_adar,1720,3,0.3
adamic_adar,1722,3,0.3
adamic_adar,1729,4,0.4
adamic_adar,1730,4,0.4
adamic_adar,1732,4,0.4
adamic_adar,1733,4,0.4
adamic_adar,1734,6,0.6
adamic_adar,1737,2,0.2
adamic_adar,1741,3,0.3
adamic_adar,1742,1,0.1
adamic_adar,1748,5,0.5
adamic_adar,1749,7,0.7
adamic_adar,1751,6,0.6
adamic_adar,1754,3,0.3
adamic_adar,1756,5,0.5
adamic_adar,1757,3,0.3
adamic_adar,1759,1,0.1
adamic_adar,1762,6,0.6
adamic_adar,1764,1,0.1
adamic_adar,1766,4,0.4
adamic_adar,1767,2,0.2
adamic_adar,1769,4,0.4
adamic_adar,1772,8,0.8
adamic_adar,1777,1,0.1
adamic_adar,1778,2,0.2
adamic_adar,1781,1,0.1
adamic_adar,1782,1,0.1
adamic_adar,1783,7,0.7
adamic_adar,1789,0,0.0
adamic_adar,1792,5,0.5
adamic_adar,1794,4,0.4
adamic_adar,1795,4,0.4
adamic_adar,1796,5,0.5
adamic_adar,1799,5,0.5
adamic_adar,1800,3,0.3
adamic_adar,1803,4,0.4
adamic_adar,1807,1,0.1
adamic_adar,1808,7,0.7
adamic_adar,1809,1,0.1
adamic_adar,1811,2,0.2
adamic_adar,1812,1,0.1
adamic_adar,1813,7,0.7
adamic_adar,1814,6,0.6
adamic_adar,1816,5,0.5
adamic_adar,1820,8,0.8
adamic_adar,1821,1,0.1
adamic_adar,1822,3,0.3
adamic_adar,1823,1,0.1
adamic_adar,1828,1,0.1
adamic_adar,1830,1,0.1
adamic_adar,1831,1,0.1
adamic_adar,1832,1,0.1
adamic_adar,1833,2,0.2
adamic_adar,1835,8,0.8
adamic_adar,1836,4,0.4
adamic_adar,1837,5,0.5
adamic_adar,1838,5,0.5
adamic_adar,1840,1,0.1
adamic_adar,1847,4,0.4
adamic_adar,1848,5,0.5
adamic_adar,1855,3,0.3
adamic_adar,1857,1,0.1
adamic_adar,1865,1,0.1
adamic_adar,1868,5,0.5
adamic_adar,1874,2,0.2
